status,payee,nickname,payment_date,recurring_date,payment_amount
data-warehouse,psimmonsno,pjonesno,1/13/2016,3,Pound
initiative,lbishopnp,khillnp,2/9/2016,8,Yuan Renminbi
utilisation,rtaylornq,mkennedynq,4/22/2016,6,Zloty
empowering,phansonnr,rdunnnr,9/12/2015,4,Yuan Renminbi
Inverse,alawsonns,kgonzalezns,8/28/2016,10,Rupiah
adapter,jmorrisnt,mfordnt,6/21/2016,10,Euro
projection,awatkinsnu,amasonnu,9/14/2015,5,Yuan Renminbi
implementation,cbradleynv,ecunninghamnv,12/9/2015,4,Rupiah
flexibility,ahenrynw,jgonzalesnw,5/24/2016,11,Peso
function,lwheelernx,wschmidtnx,9/11/2015,5,Dinar
functionalities,jkennedyny,jlynchny,1/31/2016,1,Euro
neural-net,tcolenz,wmitchellnz,9/4/2016,4,Pound
national,dwellso0,belliso0,10/23/2015,11,Yuan Renminbi
infrastructure,etayloro1,kbello1,8/24/2016,10,Yuan Renminbi
implementation,rwardo2,mstoneo2,12/13/2015,10,Baht
mobile,rlyncho3,cbaileyo3,11/17/2015,4,Euro
workforce,mryano4,jpetersono4,6/30/2016,6,Zloty
even-keeled,emeyero5,bwatsono5,7/9/2016,4,Euro
demand-driven,celliso6,rgutierrezo6,6/11/2016,12,Euro
didactic,hgonzaleso7,jalvarezo7,7/3/2016,3,Rial
synergy,dwoodo8,shillo8,7/26/2016,4,Yen
local area network,dthomaso9,creyeso9,5/14/2016,5,Rupiah
Right-sized,bhenryoa,ghuntoa,10/2/2015,12,Won
Synergized,jdunnob,ddayob,3/7/2016,8,Rand
analyzing,ghendersonoc,nmontgomeryoc,12/19/2015,5,Marka
Implemented,ngomezod,jwilliamsonod,4/21/2016,6,Afghani
open system,hjohnstonoe,bmilleroe,5/26/2016,8,Yuan Renminbi
motivating,pmcdonaldof,kjacobsof,4/14/2016,7,Yuan Renminbi
Intuitive,wreyesog,landrewsog,3/18/2016,6,Yuan Renminbi
monitoring,jbarnesoh,llongoh,12/17/2015,9,Dollar
intangible,aandrewsoi,cshawoi,3/11/2016,6,Real
multi-state,mmatthewsoj,jbelloj,10/25/2015,3,Dirham
Ameliorated,jfoxok,wthomasok,4/14/2016,3,Balboa
Progressive,jstoneol,kbowmanol,12/3/2015,1,Krona
motivating,sbaileyom,brobinsonom,10/18/2015,3,Yuan Renminbi
definition,pellison,rwatkinson,2/22/2016,2,Yuan Renminbi
background,rgrantoo,khudsonoo,6/7/2016,2,Zloty
Universal,pgarciaop,njonesop,9/24/2015,11,Euro
artificial intelligence,dryanoq,mbishopoq,5/27/2016,10,Peso
hub,bstewartor,lwagneror,11/19/2015,1,Euro
Inverse,shartos,hrobertsos,6/23/2016,2,Zloty
Upgradable,vbakerot,ltorresot,8/17/2016,11,Euro
portal,fmeyerou,pphillipsou,6/14/2016,11,Rupiah
extranet,rjordanov,hperezov,7/20/2016,4,Koruna
Total,sgonzalezow,rwheelerow,4/8/2016,12,Kuna
Devolved,mryanox,pparkerox,8/21/2016,11,Dram
info-mediaries,nfloresoy,cholmesoy,6/5/2016,9,Sol
hierarchy,mgibsonoz,nrileyoz,9/7/2016,8,Peso
Polarised,jowensp0,rleep0,12/15/2015,7,Hryvnia
Reduced,tcolep1,aaustinp1,12/19/2015,11,Dollar
Public-key,snguyenp2,shayesp2,7/26/2016,6,Afghani
parallelism,rtorresp3,cpetersp3,4/16/2016,2,Ringgit
Streamlined,abishopp4,cbakerp4,4/4/2016,7,Dinar
bifurcated,jpalmerp5,agriffinp5,1/9/2016,6,Shilling
motivating,jriverap6,mcarrp6,12/9/2015,8,Peso
systemic,hramirezp7,jmorrisp7,2/4/2016,7,Real
encryption,klopezp8,ecarrp8,1/4/2016,12,Won
maximized,lgrahamp9,crussellp9,12/4/2015,8,Tugrik
frame,lgonzalezpa,mricepa,9/15/2015,12,Rupiah
internet solution,jjacobspb,srileypb,1/2/2016,1,Rupiah
pricing structure,jrussellpc,hcookpc,2/20/2016,5,Yuan Renminbi
Fundamental,fthomaspd,dstephenspd,7/13/2016,12,Dollar
analyzer,bmeyerpe,rmillerpe,3/10/2016,1,Yuan Renminbi
collaboration,trobertsonpf,ckellypf,4/20/2016,10,Rupiah
Persistent,jkellypg,tgutierrezpg,8/23/2016,11,Rupiah
time-frame,ccarterph,aadamsph,8/30/2016,1,Euro
Quality-focused,hhansenpi,jcookpi,12/18/2015,4,Euro
demand-driven,jstevenspj,pparkerpj,10/4/2015,2,Hryvnia
Self-enabling,smcdonaldpk,srichardspk,5/7/2016,8,Ruble
data-warehouse,kwestpl,ssnyderpl,2/29/2016,3,Yuan Renminbi
Quality-focused,jchapmanpm,ghendersonpm,3/17/2016,11,Yuan Renminbi
data-warehouse,ebishoppn,rruizpn,10/30/2015,10,Peso
human-resource,jmorganpo,jhamiltonpo,5/12/2016,8,Euro
structure,twoodspp,dclarkpp,3/2/2016,6,Rupiah
24 hour,chunterpq,rwilliamsonpq,12/4/2015,6,Rupiah
mission-critical,cphillipspr,towenspr,8/3/2016,12,Euro
Cross-platform,fwrightps,bkelleyps,4/30/2016,6,Ruble
Sharable,fthompsonpt,nellispt,6/1/2016,9,Euro
Vision-oriented,btorrespu,mrosepu,5/9/2016,10,Real
global,dhawkinspv,cnguyenpv,3/22/2016,3,Yuan Renminbi
concept,gfisherpw,jknightpw,7/12/2016,9,Metical
Persistent,jruizpx,pthompsonpx,10/10/2015,10,Ruble
client-driven,sgonzalespy,rmoralespy,4/18/2016,1,Rupiah
optimal,rporterpz,ksmithpz,8/21/2016,10,Dollar
core,wtuckerq0,chendersonq0,7/25/2016,11,Baht
encompassing,bharrisq1,drileyq1,1/1/2016,9,Yuan Renminbi
multi-state,dcampbellq2,treynoldsq2,11/9/2015,11,Dollar
Polarised,bgordonq3,kgomezq3,9/30/2015,3,Rupiah
concept,lpowellq4,scunninghamq4,10/24/2015,1,Dollar
monitoring,cwebbq5,hfergusonq5,11/10/2015,4,Yuan Renminbi
multimedia,crussellq6,amccoyq6,12/16/2015,9,Yuan Renminbi
global,aknightq7,nbowmanq7,6/21/2016,6,Yuan Renminbi
bifurcated,jwagnerq8,rwilliamsq8,1/2/2016,5,Rupiah
well-modulated,awhiteq9,jhicksq9,10/8/2015,4,Euro
client-driven,lclarkqa,twestqa,7/20/2016,9,Krona
core,nlawsonqb,emendozaqb,8/6/2016,6,Sol
maximized,bpattersonqc,wgrayqc,4/24/2016,2,Yuan Renminbi
disintermediate,rbakerqd,cwilliamsqd,10/17/2015,6,Rupiah
Multi-layered,apattersonqe,bhawkinsqe,1/7/2016,4,Yuan Renminbi
discrete,lpetersonqf,roliverqf,3/13/2016,6,Balboa
analyzer,dbradleyqg,jmendozaqg,6/2/2016,8,Peso
Programmable,lrobertsonqh,bruizqh,6/3/2016,4,Yuan Renminbi
tangible,challqi,sbrooksqi,11/13/2015,4,Euro
orchestration,rlawrenceqj,jmendozaqj,9/24/2015,3,Peso
Re-contextualized,cmartinqk,amitchellqk,10/9/2015,4,Dollar
Graphical User Interface,rcrawfordql,emartinezql,6/14/2016,10,Baht
attitude,ghenryqm,jstevensqm,12/29/2015,10,Rupee
structure,ehansenqn,ealvarezqn,1/20/2016,8,Yuan Renminbi
customer loyalty,hvasquezqo,gparkerqo,6/17/2016,11,Hryvnia
User-friendly,gmurphyqp,ereynoldsqp,9/28/2015,9,Euro
system engine,abaileyqq,scrawfordqq,10/16/2015,7,Koruna
real-time,ephillipsqr,lfreemanqr,9/11/2015,9,Yuan Renminbi
moderator,pdeanqs,kpetersqs,9/21/2015,11,Peso
workforce,ksimpsonqt,talexanderqt,7/24/2016,3,Koruna
Reactive,bdeanqu,trossqu,4/29/2016,9,Bolivar
Synergized,jmontgomeryqv,eweaverqv,2/7/2016,2,Real
multi-state,jramirezqw,rcrawfordqw,4/25/2016,10,Euro
initiative,awheelerqx,alawrenceqx,12/16/2015,3,Rupee
Progressive,jwebbqy,vhansenqy,6/12/2016,9,Ruble
intangible,aweaverqz,mrayqz,10/9/2015,11,Peso
software,ksandersr0,swilliamsonr0,4/6/2016,8,Sol
orchestration,thowardr1,hmarshallr1,1/6/2016,4,Euro
Exclusive,agonzalezr2,mwardr2,6/11/2016,4,Dollar
Optimized,pmedinar3,mmasonr3,10/3/2015,12,Peso
Re-engineered,jphillipsr4,pwebbr4,6/19/2016,4,Yuan Renminbi
non-volatile,wwillisr5,bkennedyr5,12/18/2015,4,Peso
budgetary management,efernandezr6,wgilbertr6,9/1/2016,11,Lek
disintermediate,hwillisr7,jhartr7,9/23/2015,10,Dinar
Re-engineered,rricer8,jnguyenr8,6/24/2016,6,Rupiah
bandwidth-monitored,dphillipsr9,tgardnerr9,3/20/2016,12,Hryvnia
solution,pwellsra,smorrisra,11/20/2015,10,Euro
utilisation,drileyrb,mhenryrb,11/6/2015,9,Yuan Renminbi
responsive,jdixonrc,jgrayrc,4/8/2016,8,Franc
algorithm,lfoxrd,bmillerrd,11/26/2015,4,Yuan Renminbi
composite,jhansenre,lrileyre,6/23/2016,10,Ruble
utilisation,jallenrf,bhendersonrf,9/3/2016,9,Yuan Renminbi
24 hour,jtorresrg,jreidrg,10/2/2015,10,Franc
tangible,sgonzalesrh,hbanksrh,7/3/2016,9,Rupiah
directional,khallri,dcoxri,9/30/2015,8,Dollar
Grass-roots,preyesrj,jyoungrj,1/18/2016,6,Krona
Optimized,thernandezrk,adunnrk,6/14/2016,5,Sol
Innovative,sduncanrl,tcarpenterrl,2/9/2016,8,Euro
full-range,bbutlerrm,lsnyderrm,4/11/2016,3,Peso
utilisation,rbradleyrn,fscottrn,7/27/2016,3,Naira
hierarchy,wcooperro,estephensro,5/26/2016,12,Dinar
homogeneous,nrichardsrp,jcarpenterrp,2/21/2016,10,Yuan Renminbi
Expanded,jwalkerrq,mthompsonrq,12/6/2015,5,Krona
radical,swardrr,dmorrisonrr,12/1/2015,3,Yuan Renminbi
