medium,payee_id,amount,transaction_date,description
Re-contextualized,85-643-4870,$62758.28,12/13/2015,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
frame,27-286-6408,$44339.89,3/20/2016,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
clear-thinking,99-258-7439,$81247.17,9/24/2015,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
client-driven,41-924-6356,$28924.17,1/12/2016,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
collaboration,26-187-9598,$87047.47,8/8/2016,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
impactful,68-991-6921,$22085.78,8/30/2016,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
superstructure,80-259-7280,$60069.96,4/9/2016,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
throughput,42-779-1035,$7583.88,12/26/2015,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
well-modulated,74-464-6702,$31060.69,3/13/2016,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
service-desk,94-754-3857,$87903.36,10/29/2015,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
website,04-876-3188,$4996.90,5/3/2016,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
Profound,19-748-4726,$77520.90,11/20/2015,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
task-force,08-151-8839,$58877.85,10/20/2015,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
benchmark,48-539-9878,$82561.12,9/11/2015,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
Programmable,31-242-2017,$4850.02,12/8/2015,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
Virtual,68-563-3665,$25308.37,11/19/2015,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
synergy,52-814-5853,$9671.74,12/18/2015,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
hybrid,38-884-5789,$28997.63,6/26/2016,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
hierarchy,57-468-4933,$2894.09,6/26/2016,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci
composite,45-830-0246,$87575.08,8/30/2016,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
3rd generation,87-539-2313,$16157.42,4/3/2016,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
project,53-960-5997,$71407.21,12/13/2015,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
systematic,91-452-3293,$92489.32,8/12/2016,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
Mandatory,81-942-0244,$39957.50,8/12/2016,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa
logistical,24-626-7852,$59331.64,10/28/2015,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
user-facing,38-618-8485,$10196.41,8/21/2016,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo
real-time,59-650-3963,$30970.42,8/19/2016,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
paradigm,02-414-5597,$53632.99,4/28/2016,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
Integrated,74-089-8289,$21855.24,6/13/2016,sit amet diam in magna bibendum imperdiet nullam orci pede
Organic,64-897-0926,$70723.66,11/20/2015,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
definition,74-442-2098,$25817.86,9/20/2015,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
global,02-081-0486,$19341.63,5/19/2016,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non
eco-centric,82-092-8698,$44721.32,7/19/2016,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
Expanded,24-780-8167,$14385.88,10/27/2015,libero nam dui proin leo odio porttitor id consequat in consequat
coherent,48-042-2499,$43036.64,7/2/2016,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
encryption,64-331-5287,$29764.55,3/5/2016,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
leverage,81-691-3676,$68994.12,2/1/2016,consequat morbi a ipsum integer a nibh in quis justo
tangible,80-111-5682,$59491.25,7/6/2016,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
budgetary management,30-050-4842,$4354.00,4/18/2016,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
portal,15-685-8248,$98192.94,11/18/2015,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
actuating,28-216-9382,$85765.47,3/7/2016,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend
initiative,78-611-3142,$27694.13,12/24/2015,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
non-volatile,07-883-1099,$12186.61,4/10/2016,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
Reactive,83-873-6509,$47766.21,9/3/2016,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
modular,46-097-4097,$54764.09,9/4/2016,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
value-added,03-710-4820,$95483.80,4/25/2016,felis donec semper sapien a libero nam dui proin leo odio
Persistent,91-453-4909,$4365.15,2/1/2016,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
product,60-496-8213,$55044.76,2/13/2016,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
heuristic,93-952-1457,$74925.98,4/29/2016,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
product,73-450-8776,$16531.24,10/23/2015,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
leverage,76-368-0503,$89596.51,3/12/2016,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
Expanded,46-807-6273,$79534.00,12/18/2015,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
homogeneous,03-334-1305,$31430.02,12/20/2015,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
local,24-938-5938,$67667.31,12/2/2015,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at
Phased,87-326-1587,$85603.45,8/19/2016,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque
fault-tolerant,81-875-1911,$72641.81,12/6/2015,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
Vision-oriented,65-383-4286,$81991.59,2/18/2016,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
Persistent,85-625-2113,$23498.66,12/15/2015,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
system-worthy,47-412-0554,$12787.21,5/13/2016,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
migration,79-437-9465,$68721.04,6/17/2016,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
structure,66-555-9542,$61305.87,2/21/2016,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
knowledge base,47-347-6352,$89787.88,3/5/2016,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
Realigned,38-851-8551,$62739.34,12/17/2015,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
executive,68-945-0365,$31807.80,12/25/2015,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
didactic,11-352-6849,$16658.23,11/4/2015,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
Programmable,34-613-2762,$74934.54,2/19/2016,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
Profit-focused,36-984-4969,$31804.13,12/22/2015,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
secured line,61-009-8596,$41671.28,3/8/2016,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
Re-contextualized,84-619-6926,$44311.68,2/20/2016,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
bifurcated,67-508-0497,$15481.39,6/11/2016,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
structure,73-156-9418,$86997.06,12/4/2015,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
coherent,30-091-6901,$73598.30,3/4/2016,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam
Ergonomic,56-269-0981,$61889.23,7/6/2016,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
actuating,79-958-9898,$99956.26,6/16/2016,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
intangible,66-703-9805,$12026.82,11/14/2015,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
zero administration,45-237-2576,$64207.34,8/19/2016,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
throughput,33-653-8320,$74289.46,7/3/2016,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
Exclusive,06-438-7079,$87254.38,3/9/2016,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien
local,85-488-8396,$9741.96,4/22/2016,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
Innovative,86-276-0418,$33645.67,10/4/2015,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
global,79-622-3151,$60813.46,10/24/2015,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla
infrastructure,40-700-7064,$39959.44,7/31/2016,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
demand-driven,27-165-4197,$18834.96,4/22/2016,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
Synchronised,36-490-9012,$36340.67,11/27/2015,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
high-level,78-939-1321,$62511.74,3/13/2016,volutpat sapien arcu sed augue aliquam erat volutpat in congue
database,21-961-9781,$33513.81,6/27/2016,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
firmware,81-052-2165,$19242.92,6/24/2016,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor
Future-proofed,80-307-0952,$40190.00,12/22/2015,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
algorithm,84-800-2296,$89987.06,8/13/2016,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
Optimized,33-435-5327,$12371.12,12/17/2015,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat
reciprocal,02-079-1989,$8228.05,3/19/2016,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
monitoring,47-050-2740,$16629.23,6/21/2016,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
Digitized,97-164-7313,$41070.40,9/23/2015,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
Streamlined,40-039-0496,$93382.37,11/8/2015,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
system-worthy,41-620-1138,$97265.97,9/18/2015,ut nulla sed accumsan felis ut at dolor quis odio consequat varius
frame,79-539-2989,$26732.22,10/15/2015,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus
protocol,29-596-2688,$93464.96,11/30/2015,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
incremental,18-750-4973,$57183.32,5/19/2016,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
exuding,63-137-7404,$65765.60,11/18/2015,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
fault-tolerant,49-412-3566,$37719.99,10/24/2015,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
methodology,49-613-9748,$16881.10,1/24/2016,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
task-force,20-194-5183,$41549.98,3/24/2016,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
middleware,48-123-3078,$78191.99,12/2/2015,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
impactful,04-018-3216,$95520.10,12/17/2015,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
reciprocal,75-024-9038,$20614.36,12/23/2015,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
success,27-343-1622,$24433.67,6/17/2016,ante nulla justo aliquam quis turpis eget elit sodales scelerisque
Re-contextualized,37-529-9111,$28124.92,6/19/2016,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
application,10-495-1261,$45770.07,9/10/2015,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et
complexity,74-428-9063,$40964.21,11/18/2015,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
heuristic,99-310-9182,$28340.85,8/30/2016,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
Optimized,61-182-9754,$39163.56,1/4/2016,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
uniform,50-899-9415,$73528.54,1/19/2016,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
Reactive,84-075-3844,$40601.52,3/3/2016,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
zero defect,72-885-8274,$60339.51,1/15/2016,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
User-centric,80-872-3182,$62438.13,8/25/2016,tempus sit amet sem fusce consequat nulla nisl nunc nisl
web-enabled,29-304-9043,$18269.80,5/28/2016,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
open architecture,60-977-3726,$32957.97,2/20/2016,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
mobile,86-654-5953,$30803.50,8/2/2016,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
ability,82-241-6256,$8183.86,1/8/2016,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
even-keeled,41-952-2283,$69873.97,11/12/2015,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
internet solution,76-351-4541,$91920.58,11/19/2015,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
definition,40-870-0341,$67296.78,7/3/2016,at nunc commodo placerat praesent blandit nam nulla integer pede justo
national,11-353-8507,$84856.11,1/11/2016,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum
Networked,13-310-6516,$10150.56,5/3/2016,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
support,71-005-6145,$90722.62,8/8/2016,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
service-desk,65-940-7298,$23591.77,5/19/2016,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
customer loyalty,57-024-7721,$75310.76,8/31/2016,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
Persevering,45-042-7199,$47741.57,12/6/2015,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
analyzing,50-897-1462,$68450.05,5/16/2016,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
Public-key,47-714-4659,$91088.25,2/14/2016,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate
Balanced,81-230-6576,$37139.36,9/29/2015,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
Decentralized,83-949-3740,$62326.69,9/21/2015,leo rhoncus sed vestibulum sit amet cursus id turpis integer
standardization,69-838-2418,$29598.04,3/14/2016,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis
Enterprise-wide,02-500-8328,$88215.27,2/9/2016,nulla sed vel enim sit amet nunc viverra dapibus nulla
Team-oriented,37-196-3880,$50259.01,5/12/2016,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
local,36-934-5923,$64797.77,1/3/2016,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
challenge,00-021-2252,$18310.35,10/13/2015,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
Phased,10-122-6753,$10736.77,8/15/2016,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
orchestration,74-977-8395,$89435.35,7/26/2016,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam
Customizable,08-474-8397,$44387.67,11/14/2015,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
motivating,13-708-2570,$35425.74,3/2/2016,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse
open architecture,55-810-4509,$18074.38,5/30/2016,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
value-added,87-908-6947,$41658.77,6/18/2016,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
productivity,16-674-7910,$79035.21,3/18/2016,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
Automated,08-631-8780,$5035.50,9/3/2016,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
capability,23-973-4037,$27714.67,9/28/2015,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
encoding,71-851-9988,$65564.64,12/22/2015,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat
Balanced,69-691-2994,$63983.53,6/14/2016,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
Face to face,61-819-0555,$59986.68,7/23/2016,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
empowering,21-380-2061,$64507.66,8/14/2016,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
Triple-buffered,70-473-0599,$44610.73,12/9/2015,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
Fundamental,67-194-7548,$2578.49,10/7/2015,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
Polarised,14-130-4853,$50333.92,9/13/2015,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
Down-sized,73-110-5033,$38379.12,9/25/2015,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien
Re-engineered,38-752-2344,$80264.74,10/24/2015,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
bottom-line,01-660-3847,$98531.54,5/7/2016,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse
attitude-oriented,49-906-3048,$48783.16,7/5/2016,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
system-worthy,91-839-6168,$69286.91,11/19/2015,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
dedicated,67-617-1770,$45717.54,5/17/2016,nisi at nibh in hac habitasse platea dictumst aliquam augue quam
Team-oriented,73-112-2576,$69025.38,8/25/2016,orci luctus et ultrices posuere cubilia curae mauris viverra diam
Enhanced,59-513-5422,$90591.21,9/21/2015,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum
alliance,05-126-8593,$856.24,12/3/2015,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
strategy,35-006-6245,$60661.73,3/1/2016,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
support,47-182-7791,$14470.47,4/14/2016,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
fresh-thinking,83-914-1893,$28146.62,9/21/2015,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
Focused,86-614-6313,$44550.75,4/10/2016,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
hierarchy,44-098-6217,$51712.18,3/21/2016,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc
throughput,67-986-6215,$9306.52,9/14/2015,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
Persistent,50-462-5873,$75021.97,2/11/2016,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
asynchronous,43-769-9446,$27423.86,2/22/2016,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis
Monitored,90-337-6538,$18958.38,1/3/2016,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris
uniform,41-077-9227,$55790.36,7/14/2016,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
needs-based,37-904-7988,$27413.41,5/2/2016,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi
foreground,31-972-6739,$39366.62,8/11/2016,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
3rd generation,77-530-8356,$66085.61,5/4/2016,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
Phased,17-764-1044,$31517.61,12/19/2015,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel
Extended,95-024-5034,$44115.55,9/1/2016,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
Persevering,83-921-9243,$85331.92,12/31/2015,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
national,16-257-9174,$48445.11,4/30/2016,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
Monitored,42-775-5651,$53454.70,5/18/2016,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum
Operative,42-966-5700,$23319.97,7/29/2016,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
workforce,11-892-9991,$51610.97,2/25/2016,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
Cross-group,03-087-2859,$77574.37,3/21/2016,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
multimedia,99-621-1521,$67762.70,10/17/2015,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
Down-sized,38-874-1915,$37002.82,5/16/2016,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
Optimized,03-182-1598,$73590.72,5/19/2016,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
utilisation,71-291-4885,$95649.70,12/26/2015,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
array,42-717-8013,$40159.35,5/14/2016,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
Organized,54-642-7306,$42292.30,10/17/2015,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
Reverse-engineered,54-600-3970,$82621.04,12/17/2015,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
Reactive,65-634-2118,$34433.05,4/16/2016,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem
zero tolerance,06-838-9289,$17295.18,1/20/2016,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
interface,69-041-9605,$85523.16,3/17/2016,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
matrices,86-935-9391,$63605.35,12/16/2015,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
didactic,87-711-4278,$2370.49,9/17/2015,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
empowering,58-595-7962,$95618.24,7/28/2016,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
Enhanced,29-206-6977,$67517.35,10/10/2015,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
Total,30-373-1654,$51343.39,4/17/2016,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
Devolved,78-515-2092,$45573.58,10/24/2015,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
next generation,51-563-6039,$84237.27,9/6/2016,aliquam erat volutpat in congue etiam justo etiam pretium iaculis
Fundamental,57-662-8890,$67145.71,11/3/2015,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
array,42-029-8877,$25214.69,10/10/2015,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in
Advanced,61-329-7294,$18130.90,8/9/2016,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
Secured,94-202-6258,$56770.11,9/27/2015,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
foreground,32-767-3887,$94467.62,9/18/2015,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu
Operative,10-749-6446,$97503.44,5/9/2016,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
product,35-499-6463,$9822.52,6/20/2016,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
structure,51-689-3948,$22809.88,5/3/2016,luctus et ultrices posuere cubilia curae mauris viverra diam vitae
